trial_index,success,distance_best,distance_current,distance_current_normalised,distance_diff,food_coordinate_x,food_coordinate_y,best_position_x,best_position_y,swarm_coordinate_x,swarm_coordinate_y,smell_concentration
40,true,0.11730985869519128,0.8516824223613801,0.04258412111806901,0.7343725636661889,-1.9864973478717154,-3.4175627980204055,-0.5,-2.8999999999999995,-1.4,-2.8,1.1741465759354215
41,true,0.11730985869519128,1.9870452136257157,0.09935226068128579,1.8697353549305245,-2.759913712292896,1.0272413808783156,-0.8,0.7,-0.8,0.7,0.5032598116755094
42,true,0.11730985869519128,1.327178372431716,0.0663589186215858,1.2098685137365248,5.053186343645027,0.6369512791514698,3.8,0.19999999999999993,3.8,0.19999999999999993,0.7534782217463014
43,true,0.11730985869519128,1.9817085544966029,0.09908542772483014,1.8643986958014116,-3.2388115823732777,2.714210658916979,-1.5999999999999999,1.6,-1.5999999999999999,1.6,0.5046150695221789
44,false,0.11730985869519128,22.066907490507575,1.1033453745253787,21.949597631812384,7.479739505637006,3.468745784581884,-10,-10,-10,-10,0.04531672598120809
45,false,0.11730985869519128,23.01438683562653,1.1507193417813266,22.89707697693134,1.9480555850279977,9.669925499526961,-10,-10,-10,-10,0.04345108158397636
46,false,0.11730985869519128,22.183709519708373,1.1091854759854187,22.066399661013183,2.1375481129148515,-8.568707382622978,-10,10,-10,10,0.04507812361641247
47,false,0.11730985869519128,19.12412299474945,0.9562061497374724,19.00681313605426,-9.124120505000565,2.390241489787112,10,2.4,10,2.4,0.05228997953394
48,false,0.11730985869519128,20.654878066408994,1.0327439033204497,20.537568207713804,1.7560939296606044,-6.982880893865455,-10,10,-10,10,0.04841471330815063
49,true,0.11730985869519128,0.999539057440186,0.0499769528720093,0.8822291987449947,8.572502932275125,5.096493174107108,9,6,9,6,1.0004611551258382
